Year;Region;Internet traffic, in exabytes
2022;Asia-Pacific;2181,8
2022;Americas;1005,1
2022;Europe;861,3
2022;Arab States;180,8
2022;CIS;109,9
2022;Africa;12,5
2022;Other economies;27
