Year;Region;Internet traffic, in exabytes
2019;Asia-Pacific;866
2019;Americas;548,1
2019;Europe;453,5
2019;Arab States;52,3
2019;CIS;52,2
2019;Africa;4,6
2019;Other economies;14,1
